trip_id,time_s,phase,lon_deg,lat_deg,altitude_m,payload_kg
T034,8408.437552013229,巡航,109.23468046615385,23.044775416923077,398.2391662597656,0.0
T034,8418.328188486455,巡航,109.23456785538461,23.043708772307692,398.2391662597656,0.0
T034,8428.218824959684,巡航,109.23445524461539,23.042642127692307,398.2391662597656,0.0
T034,8438.10946143291,巡航,109.23434263384615,23.041575483076922,398.2391662597656,0.0
T034,8448.000097906137,巡航,109.23423002307692,23.040508838461538,398.2391662597656,0.0
T034,8457.890734379365,巡航,109.2341174123077,23.039442193846153,398.2391662597656,0.0
T034,8467.781370852592,巡航,109.23400480153846,23.038375549230768,398.2391662597656,0.0
T034,8477.672007325818,巡航,109.23389219076923,23.037308904615383,398.2391662597656,0.0
T034,8487.562643799047,巡航,109.23377958,23.036242259999998,398.2391662597656,0.0
T034,8497.453280272273,巡航,109.23366696923077,23.035175615384613,398.2391662597656,0.0
T034,8507.3439167455,巡航,109.23355435846155,23.034108970769232,398.2391662597656,0.0
T034,8517.234553218728,巡航,109.23344174769231,23.033042326153847,398.2391662597656,0.0
T034,8527.125189691955,巡航,109.23332913692307,23.031975681538462,398.2391662597656,0.0
T034,8537.015826165181,巡航,109.23321652615385,23.030909036923077,398.2391662597656,0.0
T034,8546.90646263841,巡航,109.23310391538462,23.029842392307692,398.2391662597656,0.0
T034,8556.797099111636,巡航,109.23299130461538,23.028775747692308,398.2391662597656,0.0
T034,8566.687735584863,巡航,109.23287869384616,23.027709103076923,398.2391662597656,0.0
T034,8576.578372058091,巡航,109.23276608307692,23.026642458461538,398.2391662597656,0.0
T034,8586.469008531318,巡航,109.23265347230769,23.025575813846153,398.2391662597656,0.0
T034,8596.359645004544,巡航,109.23254086153847,23.024509169230768,398.2391662597656,0.0
T034,8606.250281477773,巡航,109.23242825076923,23.023442524615383,398.2391662597656,0.0
T034,8616.140917951,巡航,109.23231564,23.02237588,398.2391662597656,0.0
T034,8626.031554424226,巡航,109.23220302923077,23.021309235384614,398.2391662597656,0.0
T034,8635.922190897452,巡航,109.23209041846154,23.02024259076923,398.2391662597656,0.0
T034,8645.81282737068,巡航,109.2319778076923,23.019175946153844,398.2391662597656,0.0
T034,8655.703463843907,巡航,109.23186519692308,23.01810930153846,398.2391662597656,0.0
T034,8665.594100317134,巡航,109.23175258615385,23.017042656923078,398.2391662597656,0.0
T034,8675.484736790362,巡航,109.23163997538462,23.015976012307693,398.2391662597656,0.0
