uav_id,trip_id,phase,start_s,end_s,run_id
U06,T020,下降,4344.170239096658,4402.312883139626,20260923_191417_344885
U02,T021,准备装载,3424.4349857951865,3754.4349857951865,20260923_191417_344885
U02,T021,爬升,3754.4349857951865,3802.887189164327,20260923_191417_344885
U02,T021,巡航,3802.887189164327,4057.3854261242022,20260923_191417_344885
U02,T021,下降,4057.3854261242022,4093.008070167171,20260923_191417_344885
U02,T021,交接,4093.008070167171,4273.00807016717,20260923_191417_344885
U02,T021,爬升,4273.00807016717,4302.693606869645,20260923_191417_344885
U02,T021,巡航,4302.693606869645,4557.19184382952,20260923_191417_344885
U02,T021,下降,4557.19184382952,4615.334487872489,20260923_191417_344885
U04,T022,准备装载,3665.9646704365687,3995.9646704365687,20260923_191417_344885
U04,T022,爬升,3995.9646704365687,4044.416873805709,20260923_191417_344885
U04,T022,巡航,4044.416873805709,4298.915110765584,20260923_191417_344885
U04,T022,下降,4298.915110765584,4334.537754808553,20260923_191417_344885
U04,T022,交接,4334.537754808553,4514.537754808553,20260923_191417_344885
U04,T022,爬升,4514.537754808553,4544.223291511027,20260923_191417_344885
U04,T022,巡航,4544.223291511027,4798.721528470902,20260923_191417_344885
U04,T022,下降,4798.721528470902,4856.864172513871,20260923_191417_344885
U03,T023,准备装载,3937.2619219931075,4267.2619219931075,20260923_191417_344885
U03,T023,爬升,4267.2619219931075,4327.680006709905,20260923_191417_344885
U03,T023,巡航,4327.680006709905,4945.289211300253,20260923_191417_344885
U03,T023,下降,4945.289211300253,4981.070912960409,20260923_191417_344885
U03,T023,交接,4981.070912960409,5161.070912960409,20260923_191417_344885
U03,T023,爬升,5161.070912960409,5190.888997677206,20260923_191417_344885
U03,T023,巡航,5190.888997677206,5808.498202267555,20260923_191417_344885
U03,T023,下降,5808.498202267555,5880.999903927711,20260923_191417_344885
U01,T024,准备装载,4356.580170341995,4686.580170341995,20260923_191417_344885
U01,T024,爬升,4686.580170341995,4766.046116793817,20260923_191417_344885
U01,T024,巡航,4766.046116793817,5031.563464994955,20260923_191417_344885
U01,T024,下降,5031.563464994955,5052.082600737143,20260923_191417_344885
U01,T024,交接,5052.082600737143,5232.082600737143,20260923_191417_344885
U01,T024,爬升,5232.082600737143,5249.181880522299,20260923_191417_344885
U01,T024,巡航,5249.181880522299,5514.699228723437,20260923_191417_344885
U01,T024,下降,5514.699228723437,5610.058364465625,20260923_191417_344885
U05,T025,准备装载,4569.3043244592145,4899.3043244592145,20260923_191417_344885
U05,T025,爬升,4899.3043244592145,4978.770270911037,20260923_191417_344885
U05,T025,巡航,4978.770270911037,5191.184149471947,20260923_191417_344885
U05,T025,下降,5191.184149471947,5211.703285214136,20260923_191417_344885
U05,T025,交接,5211.703285214136,5391.703285214136,20260923_191417_344885
U05,T025,爬升,5391.703285214136,5408.8025649992915,20260923_191417_344885
U05,T025,巡航,5408.8025649992915,5621.216443560202,20260923_191417_344885
U05,T025,下降,5621.216443560202,5716.575579302389,20260923_191417_344885
U02,T026,准备装载,4615.334487872489,4945.334487872489,20260923_191417_344885
U02,T026,爬升,4945.334487872489,5035.514209959078,20260923_191417_344885
U02,T026,巡航,5035.514209959078,5678.4055807188415,20260923_191417_344885
U02,T026,下降,5678.4055807188415,5746.381247222748,20260923_191417_344885
U02,T026,交接,5746.381247222748,5926.381247222748,20260923_191417_344885
U02,T026,爬升,5926.381247222748,5983.027635976003,20260923_191417_344885
U02,T026,巡航,5983.027635976003,6625.919006735767,20260923_191417_344885
U02,T026,下降,6625.919006735767,6734.134673239673,20260923_191417_344885
U08,T027,准备装载,4675.90373441993,5215.90373441993,20260923_191417_344885
U08,T027,爬升,5215.90373441993,5295.38808988868,20260923_191417_344885
U08,T027,巡航,5295.38808988868,5647.4285523468825,20260923_191417_344885
U08,T027,下降,5647.4285523468825,5713.13399668282,20260923_191417_344885
U08,T027,交接,5713.13399668282,6109.13399668282,20260923_191417_344885
U08,T027,爬升,6109.13399668282,6177.4566285187575,20260923_191417_344885
U08,T027,巡航,6177.4566285187575,6351.332732083036,20260923_191417_344885
U08,T027,下降,6351.332732083036,6420.086021877958,20260923_191417_344885
U08,T027,交接,6420.086021877958,6672.086021877958,20260923_191417_344885
U08,T027,爬升,6672.086021877958,6740.061688381864,20260923_191417_344885
U08,T027,巡航,6740.061688381864,7254.374784989675,20260923_191417_344885
U08,T027,下降,7254.374784989675,7389.644368119558,20260923_191417_344885
U07,T028,准备装载,4743.437538344977,5193.437538344977,20260923_191417_344885
