from_node,to_node,distance_m,max_dem_m,cruise_altitude_m,climb_m,descent_m,uav_type,flight_time_s
S004,S014,9293.779822341314,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,C,852.6128190480147
S004,S015,5648.280044723888,641.2510375976562,691.2510375976562,462.95103759765624,216.75103759765625,A,711.7074312986052
S004,S015,5648.280044723888,641.2510375976562,691.2510375976562,462.95103759765624,216.75103759765625,B,617.5694305532071
S004,S015,5648.280044723888,641.2510375976562,691.2510375976562,462.95103759765624,216.75103759765625,C,670.1079368194831
S005,O01,5280.606936873044,276.410888671875,326.410888671875,131.410888671875,198.710888671875,A,563.3385630987954
S005,O01,5280.606936873044,276.410888671875,326.410888671875,131.410888671875,198.710888671875,B,475.32844748424463
S005,O01,5280.606936873044,276.410888671875,326.410888671875,131.410888671875,198.710888671875,C,503.9602622628905
S005,S001,2928.040272387301,266.13800048828125,316.13800048828125,121.13800048828125,132.13800048828125,A,337.2378897236813
S005,S001,2928.040272387301,266.13800048828125,316.13800048828125,121.13800048828125,132.13800048828125,B,288.4372185172263
S005,S001,2928.040272387301,266.13800048828125,316.13800048828125,121.13800048828125,132.13800048828125,C,309.72688526527315
S005,S002,3475.746984096525,356.79864501953125,406.79864501953125,211.79864501953125,187.29864501953125,A,435.16458835569995
S005,S002,3475.746984096525,356.79864501953125,406.79864501953125,211.79864501953125,187.29864501953125,B,377.2354719540913
S005,S002,3475.746984096525,356.79864501953125,406.79864501953125,211.79864501953125,187.29864501953125,C,410.0852461240131
S005,S003,6340.2474614063,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,A,756.1385335677126
S005,S003,6340.2474614063,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,B,650.4677425442742
S005,S003,6340.2474614063,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,C,700.932419464847
S005,S004,2608.141553464183,315.80657958984375,365.80657958984375,170.80657958984375,137.50657958984374,A,329.283287821234
S005,S004,2608.141553464183,315.80657958984375,365.80657958984375,170.80657958984375,137.50657958984374,B,285.81426193016426
S005,S004,2608.141553464183,315.80657958984375,365.80657958984375,170.80657958984375,137.50657958984374,C,310.9520251951382
S005,S006,6107.117973375198,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468749,A,623.610184304704
S005,S006,6107.117973375198,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468749,B,521.8248847484507
S005,S006,6107.117973375198,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468749,C,546.8002680492319
S005,S007,4687.969221971704,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,A,565.5058417398295
S005,S007,4687.969221971704,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,B,487.3730213736345
S005,S007,4687.969221971704,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,C,525.714325898374
S005,S008,3040.170436044966,316.78717041015625,366.78717041015625,171.78717041015625,95.88717041015627,A,348.9647946378618
